hour,Tair,RH,va,GHI
0,28.3,74.29411764705883,1.1911764705882353,0.0
1,27.72941176470588,76.94117647058823,1.1111764705882354,0.0
2,27.211764705882356,79.82352941176471,1.066470588235294,0.0
3,26.735294117647058,82.29411764705883,1.096470588235294,0.0
4,26.305882352941175,83.94117647058823,1.0611764705882352,0.0
5,25.935294117647057,85.70588235294117,1.0988235294117648,0.0
6,25.741176470588236,86.58823529411765,1.1576470588235295,6.529411764705882
7,26.48235294117647,81.88235294117646,1.1764705882352942,84.52941176470588
8,27.958823529411767,73.6470588235294,1.1270588235294117,236.52941176470588
9,29.676470588235293,64.70588235294117,1.4017647058823528,405.7647058823529
10,31.547058823529408,57.0,1.444705882352941,557.6470588235294
11,33.06470588235294,50.588235294117645,1.6029411764705883,696.2941176470588
12,34.14705882352941,46.470588235294116,1.7876470588235294,751.8235294117648
13,34.98823529411764,43.05882352941177,1.8941176470588237,783.5882352941177
14,35.688235294117646,40.411764705882355,1.8888235294117646,788.1176470588235
15,36.01764705882353,38.8235294117647,1.9752941176470586,721.5882352941177
16,35.78235294117647,38.88235294117647,2.2623529411764705,601.0588235294117
17,35.17058823529412,40.8235294117647,2.5441176470588234,456.2352941176471
18,34.188235294117646,44.1764705882353,2.5858823529411765,285.05882352941177
19,32.96470588235294,48.64705882352941,2.2929411764705883,119.94117647058823
20,31.53529411764706,55.76470588235294,1.821764705882353,17.0
21,30.629411764705885,60.1764705882353,1.703529411764706,0.0
22,30.00588235294118,64.11764705882354,1.5023529411764704,0.0
23,29.376470588235293,67.3529411764706,1.326470588235294,0.0
